"Month";"Sales"
"01-01";266
"01-02";145.9
"01-03";183.1
"01-04";119.3
"01-05";180.3
"01-06";168.5
"01-07";231.8
"01-08";224.5
"01-09";192.8
"01-10";122.9
"01-11";336.5
"01-12";185.9
"02-01";194.3
"02-02";149.5
"02-03";210.1
"02-04";273.3
"02-05";191.4
"02-06";287
"02-07";226
"02-08";303.6
"02-09";289.9
"02-10";421.6
"02-11";264.5
"02-12";342.3
"03-01";339.7
"03-02";440.4
"03-03";315.9
"03-04";439.3
"03-05";401.3
"03-06";437.4
"03-07";575.5
"03-08";407.6
"03-09";682
"03-10";475.3
"03-11";581.3
"03-12";646.9
